"states" "lineages" "ess_time" "method"
"203" 2 400 212.514005288493 "mtt"
"204" 2 400 1142.25756919714 "mtt"
"205" 2 400 724.48996926507 "mtt"
"206" 2 400 1026.23084568445 "mtt"
"207" 2 400 1287.72945659515 "mtt"
"208" 2 400 152.269769724344 "mtt"
"209" 2 400 354.483455255379 "mtt"
"210" 2 400 830.335433105093 "mtt"
"211" 2 400 266.667371094113 "mtt"
"212" 2 400 1372.11325665551 "mtt"
"213" 2 400 1232.23087649132 "mtt"
"214" 2 400 168.89276554537 "mtt"
"215" 2 400 1042.65125726084 "mtt"
"216" 2 400 594.672544257212 "mtt"
"217" 2 400 936.346083128055 "mtt"
"218" 2 400 650.731660194225 "mtt"
"219" 2 400 996.181458510854 "mtt"
"220" 2 400 601.854663717156 "mtt"
"221" 2 400 206.328290265184 "mtt"
"222" 2 400 405.638715077768 "mtt"
"223" 2 400 352.804602061011 "mtt"
"224" 2 400 795.232256376383 "mtt"
"225" 2 400 1152.51611798321 "mtt"
"226" 2 400 431.248160807561 "mtt"
"227" 2 400 154.585966872482 "mtt"
"228" 2 400 831.808889724935 "mtt"
"229" 2 400 1521.92969882004 "mtt"
"230" 2 400 709.316063410849 "mtt"
"231" 2 400 545.869392015482 "mtt"
"232" 2 400 414.665594011979 "mtt"
"233" 2 400 865.214622529685 "mtt"
"234" 2 400 1694.82832632643 "mtt"
"235" 2 400 1262.35566454833 "mtt"
"236" 2 400 103.710843456132 "mtt"
"237" 2 400 794.28272563303 "mtt"
"238" 2 400 1246.91134093217 "mtt"
"239" 2 400 276.891733905512 "mtt"
"240" 2 400 805.222265930524 "mtt"
"241" 2 400 687.370344555968 "mtt"
"242" 2 400 975.109099995557 "mtt"
"243" 2 400 370.955811948145 "mtt"
"244" 2 400 954.420637869535 "mtt"
"245" 2 400 370.256785489844 "mtt"
"246" 2 400 370.652995851995 "mtt"
"247" 2 400 367.11142266035 "mtt"
"248" 2 400 451.004939563568 "mtt"
"249" 2 400 568.078032414562 "mtt"
"250" 2 400 931.237421353866 "mtt"
"251" 2 400 903.713547269059 "mtt"
"252" 2 400 498.967662988998 "mtt"
"253" 2 400 508.333090959652 "mtt"
"254" 2 400 1063.4525492152 "mtt"
"255" 2 400 1098.34570763047 "mtt"
"256" 2 400 1014.2808931106 "mtt"
"257" 2 400 545.349280185352 "mtt"
"258" 2 400 647.98467155274 "mtt"
"259" 2 400 532.14175206992 "mtt"
"260" 2 400 308.132672083692 "mtt"
